Instruction list for ForwardCom instruction set. Version 1.07,,,,,,,,,,,,,
Name,Id,Category,Formats,Template,Template variant,Source operands,OP1,OP2,Operand types general purpose registers,Operand types scalar,Operand types vectors,Immediate operand type,Description
and_bit,39,3,0x7F7F0FFFFAFFF,0,I2M1,2,39,0,0x000F,0x906F,0x906F,0,clear all bits except one
test_bit,40,3,0x7F7F0FFFFAFFF,0,I2M1O5,2,40,0,0x000F,0x906F,0x906F,0,test one bit
test_bits,41,3,0x7F7F0FFFFAFFF,0,O5,2,41,0,0x000F,0x906F,0x906F,0,test if at least one of the indicated bits is one
test_bits_all1,42,3,0x7F7F0FFFFAFFF,0,O5,2,42,0,0x000F,0x906F,0x906F,0,test if all indicated bits are one
mul_add,48,3,0xFFFFFFFFF700F,0,O4,3,48,0,0x0F00,0xFF00,0xFF00,0,"src1+src2*src3. Fused multiply and add, optional sign change"
mul_add2,49,3,0xFFFFFFFFF700F,0,O4,3,49,0,0x0F00,0xFF00,0xFF00,0,"src1*src2+src3. Fused multiply and add, optional sign change"
add_add,50,3,0xFFFFFFFFF700F,0,O3,3,50,0,0x0F00,0xFF00,0xFF00,0,"src1+src2+src3. Three operand add, optional sign change"
userdef55,55,3,-1,0,,2,55,0,0x000F,0x906F,0x906F,0,user defined instruction
userdef56,56,3,-1,0,,2,56,0,0x000F,0x906F,0x906F,0,user defined instruction
userdef57,57,3,-1,0,,2,57,0,0x000F,0x906F,0x906F,0,user defined instruction
userdef58,58,3,-1,0,,2,58,0,0x000F,0x906F,0x906F,0,user defined instruction
userdef59,59,3,-1,0,,2,59,0,0x000F,0x906F,0x906F,0,user defined instruction
userdef60,60,3,-1,0,,2,60,0,0x000F,0x906F,0x906F,0,user defined instruction
userdef61,61,3,-1,0,,2,61,0,0x000F,0x906F,0x906F,0,user defined instruction
userdef62,62,3,-1,0,,2,62,0,0x000F,0x906F,0x906F,0,user defined instruction
undef,63,3,-1,0,D0,2,63,0,0x000F,0x00FF,0x00FF,0,undefined instruction. will never be defined
move,2,2,1,1,,1,1,0,0x0008,0,0,17,copy signed immediate to register
add,8,2,1,1,,2,2,0,0x0008,0,0,17,addition
sub,9,2,1,1,,2,3,0,0x0008,0,0,17,subtraction
shift_left,32,2,1,1,U0,2,4,0,0x0008,0,0,17,shift left by unsigned count
shift_right_u,35,2,1,1,U0,2,5,0,0x0008,0,0,17,shift right unsigned by unsigned count
move,2,2,2,1,,1,8,0,0x0008,0,0,0,copy register to register
add,8,2,2,1,,2,9,0,0x0008,0,0,0,addition
sub,9,2,2,1,,2,10,0,0x0008,0,0,0,subtraction
and,28,2,2,1,,2,11,0,0x0008,0,0,0,bitwise and
or,30,2,2,1,,2,12,0,0x0008,0,0,0,bitwise or
xor,31,2,2,1,,2,13,0,0x0008,0,0,0,bitwise exclusive or
move,2,2,4,1,,1,14,0,0x0008,0,0,0,"read from memory. pointer RS = r0-r14, r31"
store,1,2,5,1,M0,1,15,0,0x0008,0,0,0,"write to memory. pointer RS = r0-r14, r31"
clear,0x20010,2,8,1,D2,0,16,0,0,0x0008,0x0008,0,clear vector register
move,2,2,10,1,D2,1,17,0,0,0x0008,0x0008,0,copy vector register
move,2,2,9,1,,1,18,0,0,0x0020,0,33,convert signed immediate to float
move,2,2,9,1,,1,19,0,0,0x0040,0,33,convert signed immediate to double
add,8,2,10,1,,2,20,0,0,0x0020,0x0020,0,addition
add,8,2,10,1,,2,21,0,0,0x0040,0x0040,0,addition
sub,9,2,10,1,,2,22,0,0,0x0020,0x0020,0,subtraction
sub,9,2,10,1,,2,23,0,0,0x0040,0x0040,0,subtraction
mul,11,2,10,1,,2,24,0,0,0x0020,0x0020,0,multiplication
mul,11,2,10,1,,2,25,0,0,0x0040,0x0040,0,multiplication
add_cps,0x2001C,2,11,1,R0R1,2,28,0,0x0008,0x00FF,0x00FF,0,"get size of compressed image for vector register RD and add it to g. p. register RS (r0-r14, r31)"
sub_cps,0x2001D,2,11,1,R0R1,2,29,0,0x0008,0x00FF,0x00FF,0,"get size of compressed image for vector register RD and subtract it from g. p. register RS (r0-r14, r31)"
restore_cp,0x2001E,2,12,1,D2,1,30,0,0,0x00FF,0x00FF,0,"restore vector register from compressed image pointed to by RS (r0-r14, r31)"
save_cp,0x2001F,2,13,1,M0D2,1,31,0,0,0x00FF,0x00FF,0,"save vector register to compressed image pointed to by RS (r0-r14, r31)"
bitscan_f,0x10001,1,0x100,0xA,,1,1,0,0x1F00,0,0,0,bit scan forward. Find index to lowest set bit 
bitscan_r,0x10002,1,0x100,0xA,,1,2,0,0x1F00,0,0,0,bit scan reverse. Find index to highest set bit 
round_d2,0x10003,1,0x100,0xA,,1,3,0,0x100F,0,0,0,round down to nearest power of 2
round_u2,0x10004,1,0x100,0xA,,1,4,0,0x100F,0,0,0,round up to nearest power of 2
move,2,1,0x110,0xC,,1,0,0,0x0008,0,0,3,copy 16-bit sign extended constant to register
move_u,0x11001,1,0x110,0xC,U0,1,1,0,0x0008,0,0,19,copy 16-bit zero extended constant to register
add,8,1,0x110,0xC,,2,2,0,0x0008,0,0,3,add 16-bit sign extended constant to register
mul,11,1,0x110,0xC,,2,5,0,0x0008,0,0,3,multiply 16-bit sign extended constant with register
div,16,1,0x110,0xC,,2,6,0,0x0008,0,0,3,divide register with 16-bit sign extended constant
add,8,1,0x110,0xC,,2,7,0,0x0008,0,0,8,shift 16-bit sign extended constant left by 16 and add to register
move,2,1,0x110,0xC,,1,16,0,0x0008,0,0,6,sign-extend IM2 to 64 bits and shift left by unsigned constant IM1
add,8,1,0x110,0xC,,2,17,0,0x0008,0,0,6,sign-extend IM2 to 64 bits and shift left by unsigned constant IM1 and add to register
and,28,1,0x110,0xC,,2,18,0,0x0008,0,0,6,sign-extend IM2 to 64 bits and shift left by unsigned constant IM1 and do bitwise AND with register
or,30,1,0x110,0xC,,2,19,0,0x0008,0,0,6,sign-extend IM2 to 64 bits and shift left by unsigned constant IM1 and do bitwise OR with register
xor,31,1,0x110,0xC,,2,20,0,0x0008,0,0,6,sign-extend IM2 to 64 bits and shift left by unsigned constant IM1 and do bitwise exclusive OR with register
abs,0xA0000,1,0x180,0xB,,2,0,0,0x100F,0,0,18,absolute value of integer. use saturation if IM1 = 1
shift_add,0x18001,1,0x180,0xB,,3,1,0,0x100F,0,0,18,"shift integer left by constant, then add to integer"
read_spec,0x18020,1,0x180,0xB,X1,2,32,0,0x1708,0,0,18,read special register into general purpose register
write_spec,0x18021,1,0x180,0xB,Y1,2,33,0,0x1708,0,0,18,write general purpose register to special register
read_capabilities,0x18022,1,0x180,0xB,X2,2,34,0,0x1708,0,0,18,read capabilities register into general purpose register
write_capabilities,0x18023,1,0x180,0xB,Y2,2,35,0,0x1708,0,0,18,write general purpose register to capabilities register
read_perf,0x18024,1,0x180,0xB,X3,2,36,0,0x1708,0,0,18,read performance counter into general purpose register
read_perfs,0x18025,1,0x180,0xB,X3,2,37,0,0x1708,0,0,18,"read performance counter into general purpose register, serializing"
read_sys,0x18026,1,0x180,0xB,X4,2,38,0,0x1708,0,0,18,read system register into general purpose register
write_sys,0x18027,1,0x180,0xB,Y4,2,39,0,0x1708,0,0,18,write general purpose register to system register
move_bits,0x28700,1,0x207,0xE,O6I2,3,0,1,0x1F00,0,0,25,extract bitfield from one operand and insert it at another position in another operand
move,2,1,0x290,0xA,,1,0,0,0x0008,0,0,9,load 32-bit constant into high part of general purpose register. low part is zero
insert_hi,0x29001,1,0x290,0xA,,2,1,0,0x0008,0,0,20,insert 32-bit constant into high part of general purpose register. low part is unchanged
add,8,1,0x290,0xA,,2,2,0,0x0008,0,0,20,Add zero-extended 32-bit constant to general purpose register
sub,9,1,0x290,0xA,,2,3,0,0x0008,0,0,20,Subtract zero-extended 32-bit constant from general purpose register
add,8,1,0x290,0xA,,2,4,0,0x0008,0,0,9,shift 32-bit constant left by 32 and add to register
and,28,1,0x290,0xA,,2,5,0,0x0008,0,0,9,shift 32-bit constant left by 32 and do a bitwise AND with register
or,30,1,0x290,0xA,,2,6,0,0x0008,0,0,9,shift 32-bit constant left by 32 and do a bitwise OR with register
xor,31,1,0x290,0xA,,2,7,0,0x0008,0,0,9,shift 32-bit constant left by 32 and do a bitwise exclusive OR with register
replace_bits,0x26009,1,0x290,0xA,O6,2,9,0,0x1F00,0,0,29,replace contiguous bits by a constant
address,0x29020,1,0x291,0xA,X0,1,32,0,0x0008,0,0,0,"add signed constant to pointer register. can be DATAP, IP, SP"
set_len,0x12000,1,0x120,0xA,R1RL,2,0,0,0,0x906F,0x906F,0,change length of vector to specified number of bytes
get_len,0x12001,1,0x120,0xA,R0,1,1,0,0,0x906F,0x906F,0,get length of vector as number of bytes
set_num,0x12002,1,0x120,0xA,R1,2,2,0,0,0x906F,0x906F,0,change length of vector to specified number of elements
get_num,0x12003,1,0x120,0xA,R0,1,3,0,0,0x906F,0x906F,0,get length of vector as number of elements
compress,0x12004,1,0x120,0xA,R1RL,2,4,0,0,0xB04E,0xB04E,0,compress vector of specified length to half the length and half the element size
compress_ss,0x12005,1,0x120,0xA,R1RL,2,5,0,0,0xFE00,0xFE00,0,"compress integer vector of specified length to half the length and half the element size, signed with saturation"
compress_us,0x12006,1,0x120,0xA,R1RL,2,6,0,0,0xFE00,0xFE00,0,"compress integer vector of specified length to half the length and half the element size, unsigned with saturation"
expand,0x12007,1,0x120,0xA,R1RL,2,7,0,0,0xB04E,0xB04E,0,expand vector to double length and element size. the length and element size after expansion is specified
expand_u,0x12008,1,0x120,0xA,R1RL,2,8,0,0,0x100E,0x100E,0,expand integer vector to double length and element size. the length and element size after expansion is specified
compress_sparse,0x12009,1,0x120,0xA,R1RL,2,9,0,0,0xFF00,0xFF00,0,compress sparse vector elements indicated by mask bits into contiguous vector
expand_sparse,0x1200A,1,0x120,0xA,R1RL,2,10,0,0,0xFF00,0xFF00,0,expand contiguous vector into sparse vector with positions indicated by mask bits
extract,0x1200B,1,0x120,0xA,R1,2,11,0,0,0x00FF,0x00FF,0,extract one element from vector into scalar
insert,0x1200C,1,0x120,0xA,R1,2,12,0,0,0x00FF,0x00FF,0,insert one element into vector. other elements are unchanged
broad,0x1200D,1,0x120,0xA,R1RL,2,13,0,0,0x00FF,0x00FF,0,broadcast first element of source vector into all elements of destination vector
bits2bool,0x1200E,1,0x120,0xA,R1,2,14,0,0,0x906F,0x906F,0,unpack bits to boolean vector
bool2bits,0x1200F,1,0x120,0xA,R1RL,2,15,0,0,0x906F,0x906F,0,pack boolean vector into bits
bool_reduce,0x12010,1,0x120,0xA,R1RL,2,16,0,0,0x906F,0x906F,0,AND/OR combination of all elements in boolean vector
shift_expand,0x12012,1,0x120,0xA,R1,2,18,0,0,0x00FF,0x00FF,0,shift vector bytes up. destination vector will be longer with lower half zero
shift_reduce,0x12013,1,0x120,0xA,R1,2,19,0,0,0x00FF,0x00FF,0,shift vector bytes down. destination vector will be shorter with lower part lost
shift_up,0x12014,1,0x120,0xA,R1,2,20,0,0,0x906F,0x906F,0,shift vector elements up. upper elements are lost
shift_down,0x12015,1,0x120,0xA,R1,2,21,0,0,0x906F,0x906F,0,shift vector elements down. lower elements are lost
rotate_up,0x12016,1,0x120,0xA,R1,2,22,0,0,0xFF00,0xFF00,0,rotate vector up one element
rotate_down,0x12017,1,0x120,0xA,R1,2,23,0,0,0xFF00,0xFF00,0,rotate vector down one element
div_ex,0x12018,1,0x120,0xA,,2,24,0,0,0x1906,0x1F00,0,divide double-size signed integers with single-size integers. save quotient and remainder
div_ex_u,0x12019,1,0x120,0xA,U0,2,25,0,0,0x1906,0x1F00,0,divide double-size unsigned integers with single-size integers. save quotient and remainder
sqrt,0x1201A,1,0x120,0xA,,1,26,0,0,0xE000,0xE000,0,square root
add_c,0x1201C,1,0x120,0xA,,2,28,0,0,0x1F00,0x1F00,0,"add with carry. data in even vector elements, carry in odd elements"
sub_b,0x1201D,1,0x120,0xA,,2,29,0,0,0x1F00,0x1F00,0,"subtract with borrow. data in even vector elements, borrow bit in odd elements"
add_ss,0x1201E,1,0x120,0xA,,2,30,0,0,0x1F00,0x1F00,0,"add integers, signed with saturation"
add_us,0x1201F,1,0x120,0xA,U0,2,31,0,0,0x1F00,0x1F00,0,"add integers, unsigned with saturation"
sub_ss,0x12020,1,0x120,0xA,,2,32,0,0,0x1F00,0x1F00,0,"subtract integers, signed with saturation"
sub_us,0x12021,1,0x120,0xA,U0,2,33,0,0,0x1F00,0x1F00,0,"subtract integers, unsigned with saturation"
mul_ss,0x12022,1,0x120,0xA,,2,34,0,0,0x1F00,0x1F00,0,"multiply integers, signed with saturation"
mul_us,0x12023,1,0x120,0xA,U0,2,35,0,0,0x1F00,0x1F00,0,"multiply integers, unsigned with saturation"
shift_ss,0x12024,1,0x120,0xA,,2,36,0,0,0x1F00,0x1F00,0,"shift left integers, signed with saturation"
shift_us,0x12025,1,0x120,0xA,U0,2,37,0,0,0x1F00,0x1F00,0,"shift left integers, unsigned with saturation"
add_oc,0x12026,1,0x120,0xA,,2,38,0,0,0xFF00,0xFF00,0,"add with overflow check. data in even elements, overflow bits in odd elements"
sub_oc,0x12027,1,0x120,0xA,,2,39,0,0,0xFF00,0xFF00,0,"subtract with overflow check. data in even elements, overflow bits in odd elements"
mul_oc,0x12029,1,0x120,0xA,,2,41,0,0,0xFF00,0xFF00,0,"multiply with overflow check. data in even elements, overflow bits in odd elements"
div_oc,0x1202A,1,0x120,0xA,,2,42,0,0,0xFF00,0xFF00,0,"divide with overflow check. data in even elements, overflow bits in odd elements"
add_h,0x50008,1,0x120,0xA,H0,2,48,0,0,0x0200,0x0200,0,add half precision floating point vectors
sub_h,0x50009,1,0x120,0xA,H0,2,49,0,0,0x0200,0x0200,0,subtract half precision floating point vectors
mul_h,0x5000B,1,0x120,0xA,H0,2,50,0,0,0x0200,0x0200,0,multiply half precision floating point vectors
div_h,0x50010,1,0x120,0xA,H0,2,51,0,0,0x0200,0x0200,0,divide half precision floating point vectors
mul_add_h,0x50030,1,0x120,0xA,H0,3,52,0,0,0x0200,0x0200,0,multiply and add half precision floating point vectors
read_call_stack,0x1203A,1,0x120,0xA,R1R2,2,58,0,0,0x100F,0x100F,0,Read internal call stack (privileged).
write_call_stack,0x1203B,1,0x120,0xA,R2R3D0,3,59,0,0,0x100F,0x100F,0,Write internal call stack (privileged).
read_memory_map,0x1203C,1,0x120,0xA,R1R2,2,60,0,0,0x100F,0x100F,0,Read memory map (privileged).
write_memory_map,0x1203D,1,0x120,0xA,R2R3D0,3,61,0,0,0x100F,0x100F,0,Write memory map (privileged).
input,0x1203E,1,0x120,0xA,R1R2,2,62,0,0,0x100F,0x100F,0,"read from input port. RD = vector register, RT = port address, RS = vector length (privileged instruction)."
output,0x1203F,1,0x120,0xA,R2R3D1,3,63,0,0,0x100F,0x100F,0,"write to output port. RD = vector register source operand, RT = port address, RS = vector length (privileged instruction)."
gp2vec,0x13000,1,0x130,0xB,R1,1,0,0,0x006F,0x006F,0,0,copy value from general purpose register to vector register
vec2gp,0x13001,1,0x130,0xB,R0,1,1,0,0x006F,0x006F,0x006F,0,copy value from first element of vector register to general purpose register
read_spev,0x13002,1,0x130,0xB,R1,2,2,0,0,0x100F,0x100F,18,read and broadcast special register into vector register
make_sequence,0x13004,1,0x130,0xB,R1,2,4,0,0,0xF00F,0xF00F,2,Make a vector with RS sequential numbers. First value is IM1.
float2int,0x1300C,1,0x130,0xB,I2,2,12,0,0,0x8060,0x8060,18,convert floating point to integer
int2float,0x1300D,1,0x130,0xB,,1,13,0,0,0x100C,0x100C,0,convert integer to floating point
round,0x1300E,1,0x130,0xB,I2,2,14,0,0,0x8060,0x8060,18,round floating point to integer in floating point representation
round2n,0x1300F,1,0x130,0xB,I2,2,15,0,0,0xE000,0xE000,2,round floating point to nearest multiple of 2^n
abs,0xA0000,1,0x130,0xB,I2,2,16,0,0,0xF00F,0xF00F,2,absolute value of integer and optionally floating point
fp_category,0x13011,1,0x130,0xB,I2,2,17,0,0,0x8060,0x8060,18,check if floating point number belongs to a specified set of categories
broad,0x1200D,1,0x130,0xB,R1RL,2,18,0,0,0x906F,0x906F,2,broadcast constant to vector
broadcast_max,0x13013,1,0x130,0xB,,1,19,0,0,0x906F,0x906F,2,broadcast constant to vector of maximum length
byte_reverse,0x13014,1,0x130,0xB,,1,20,0,0,0x100F,0x100F,0,reverse the order of bytes in each element of vector
bit_reverse,0x13015,1,0x130,0xB,,1,21,0,0,0x1F00,0x1F00,0,reverse the order of bits in each element of vector
bitscan_f,0x10001,1,0x130,0xB,,1,22,0,0,0x100F,0x1F00,0,bit scan forward. find index to lowest set bit
bitscan_r,0x10002,1,0x130,0xB,,1,23,0,0,0x100F,0x1F00,0,bit scan reverse. find index to highest set bit
popcount,0x13018,1,0x130,0xB,,1,24,0,0,0x100F,0x1F00,0,population count. number of bits that are 1
truth_tab2,0x13019,1,0x130,0xB,I2,3,25,0,0,0x100F,0x100F,18,"boolean function of two inputs, given by truth table"
move,2,1,0x131,0xC,,1,32,0,0,0x0200,0,3,copy 16-bit constant to 16-bit scalar
add,8,1,0x131,0xC,,2,33,0,0,0x0200,0x0200,3,broadcast 16-bit constant and add it to 16-bit vector elements
and,28,1,0x131,0xC,,2,34,0,0,0x0200,0x0200,3,broadcast 16-bit constant and do a bitwise AND with 16-bit vector elements
or,30,1,0x131,0xC,,2,35,0,0,0x0200,0x0200,3,broadcast 16-bit constant and do a bitwise OR with 16-bit vector elements
xor,31,1,0x131,0xC,,2,36,0,0,0x0200,0x0200,3,broadcast 16-bit constant and do a bitwise exclusive OR with 16-bit vector elements
add_h,0x50008,1,0x131,0xC,H0,2,37,0,0,0x0200,0x0200,64,add half precision floating point constant to half precision vector
mul_h,0x5000B,1,0x131,0xC,H0,2,38,0,0,0x0200,0x0200,64,multiply half precision floating point vector with half precision constant
move,2,1,0x132,0xC,,1,40,0,0,0x0400,0,6,shift 8-bit signed constant left by another 8-bit constant and store it in 32-bit scalar
move,2,1,0x132,0xC,,1,41,0,0,0x0800,0,6,shift 8-bit signed constant left by another 8-bit constant and store it in 64-bit scalar
add,8,1,0x132,0xC,,2,42,0,0,0x0400,0x0400,6,"shift 8-bit signed constant left by another 8-bit constant, broadcast and add to 32-bit vector elements"
add,8,1,0x132,0xC,,2,43,0,0,0x0800,0x0800,6,"shift 8-bit signed constant left by another 8-bit constant, broadcast and add to 64-bit vector elements"
and,28,1,0x132,0xC,,2,44,0,0,0x0400,0x0400,6,"shift 8-bit signed constant left by another 8-bit constant, broadcast and do a bitwise AND with 32-bit vector elements"
and,28,1,0x132,0xC,,2,45,0,0,0x0800,0x0800,6,"shift 8-bit signed constant left by another 8-bit constant, broadcast and do a bitwise AND with 64-bit vector elements"
or,30,1,0x132,0xC,,2,46,0,0,0x0400,0x0400,6,"shift 8-bit signed constant left by another 8-bit constant, broadcast and do a bitwise OR with 32-bit vector elements"
or,30,1,0x132,0xC,,2,47,0,0,0x0800,0x0800,6,"shift 8-bit signed constant left by another 8-bit constant, broadcast and do a bitwise OR with 64-bit vector elements"
xor,31,1,0x132,0xC,,2,48,0,0,0x0400,0x0400,6,"shift 8-bit signed constant left by another 8-bit constant, broadcast and do a bitwise exclusive OR with 32-bit vector elements"
xor,31,1,0x132,0xC,,2,49,0,0,0x0800,0x0800,6,"shift 8-bit signed constant left by another 8-bit constant, broadcast and do a bitwise exclusive OR with 64-bit vector elements"
move,2,1,0x133,0xC,,1,56,0,0,0x2000,0x2000,64,convert half precision floating point constant to single precision scalar
move,2,1,0x133,0xC,,1,57,0,0,0x4000,0x4000,64,convert half precision floating point constant to double precision scalar
add,8,1,0x133,0xC,,2,58,0,0,0x2000,0x2000,64,"convert half precision floating point constant to single precision, broadcast and add to vector"
add,8,1,0x133,0xC,,2,59,0,0,0x4000,0x4000,64,"convert half precision floating point constant to double precision, broadcast and add to vector"
mul,11,1,0x133,0xC,,2,60,0,0,0x2000,0x2000,64,"convert half precision floating point constant to single precision, broadcast and multiply with vector"
mul,11,1,0x133,0xC,,2,61,0,0,0x4000,0x4000,64,"convert half precision floating point constant to double precision, broadcast and multiply with vector"
concatenate,0x22600,1,0x226,0xE,R2RL,3,0,1,0,0x906F,0x906F,0,concatenate two vector of same lengths
permute,0x22601,1,0x226,0xE,R2RL,3,1,1,0,0x906F,0x906F,0,"permute vector elements within blocks, using index vector"
interleave,0x22602,1,0x226,0xE,R2RL,3,2,1,0,0,0xFF00,0,interleave elements from two vectors
move_bits,0x28700,1,0x227,0xE,O6I2,3,0,1,0,0x1F00,0x1F00,25,extract bitfield from one operand and insert it at another position in another operand
mask_length,0x28701,1,0x227,0xE,R1RLO5,3,1,1,0,0x100F,0x100F,18,Make mask with true in the first RS elements
truth_tab3,0x22603,1,0x227,0xE,O5I2,4,2,1,0,0x1F00,0x1F00,19,"boolean function of three inputs, given by truth table"
repeat_block,0x22608,1,0x227,0xE,R1RLI2,3,3,1,0,0,0xFC00,19,repeat a block of data to make a longer vector
repeat_within_blocks,0x22609,1,0x227,0xE,R1RLI2,3,4,1,0,0,0xFC00,19,broadcast the first element of each block of data in a vector to the entire block
load_hi,0x26000,1,0x260,0xA,,1,0,0,0,0x906F,0x906F,100,"make vector of two elements. first element is zero, second element is constant"
insert_hi,0x29001,1,0x260,0xA,,2,1,0,0,0x906F,0x906F,100,"make vector of two elements. first element comes from source, second element is constant"
make_mask,0x26002,1,0x260,0xA,,2,2,0,0,0x906F,0x906F,20,make boolean vector from 32 constant bits
replace,0xA0001,1,0x260,0xA,,2,3,0,0,0x906F,0x906F,100,replace all or selected elements in vector by constant
replace_even,0x26004,1,0x260,0xA,,2,4,0,0,0x906F,0x906F,100,replace even-numbered elements in vector by constant
replace_odd,0x26005,1,0x260,0xA,,2,5,0,0,0x906F,0x906F,100,replace odd-numbered elements in vector by constant
broad,0x1200D,1,0x260,0xA,R1RL,2,6,0,0,0x906F,0x906F,100,broadcast constant to make vector of identical elements
permute,0x22601,1,0x260,0xA,I2R1RL,3,8,0,0,0x906F,0x906F,20,"permute vector elements within blocks, using constant indices"
replace_bits,0x26009,1,0x260,0xA,O6,2,9,0,0,0x1F00,0x1F00,29,replace contiguous bits by a constant
store,1,1,0x258,0xB,M0,1,8,0,0xFF00,0xFF00,0,100,store constant to memory operand with base and 8-bit offset
fence,0x25910,1,0x259,0xA,D1,2,16,0,0xFF00,0,0,18,memory fence. type indicated by IM1 bits
compare_swap,0x25912,1,0x259,0xA,D1,3,18,0,0xFF00,0xFF00,0,0,atomic compare and exchange
read_insert,0x25A18,1,0x25A,0xA,R2,3,24,0,0,0xFF00,0xFF00,0,replace one element in vector with scalar memory operand
extract_store,0x25A20,1,0x25A,0xA,R2M0,2,32,0,0,0xFF00,0xFF00,0,extract one element from vector and store to memory
replace,0xA0001,1,0x318,0xA,,2,8,0,0,0x906F,0x906F,100,replace all or selected elements in vector by constant
sub/jump_zero,0x101209,4,0x135001,0xB,,3,0,0,0x000F,0x1000,0,0,"subtract, jump if zero"
sub/jump_nzero,0x101309,4,0x135001,0xB,,3,1,0,0x000F,0x1000,0,0,"subtract, jump if not zero"
